,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,mean_test_score,mean_fit_time,rank_test_score
0,gini,,,1,2,1.0,0.006422090530395508,1
1,gini,,,1,5,1.0,0.008167171478271484,1
2,gini,,,1,10,1.0,0.014081621170043945,1
3,gini,,,2,2,1.0,0.008094453811645507,1
4,gini,,,2,5,1.0,0.006575536727905273,1
5,gini,,,2,10,1.0,0.006604290008544922,1
6,gini,,,5,2,0.9989227216201811,0.006565189361572266,160
7,gini,,,5,5,0.9989227216201811,0.007366371154785156,160
8,gini,,,5,10,0.9989227216201811,0.010408782958984375,160
9,gini,,sqrt,1,2,1.0,0.005180215835571289,1
10,gini,,sqrt,1,5,1.0,0.005926513671875,1
11,gini,,sqrt,1,10,1.0,0.005926752090454101,1
12,gini,,sqrt,2,2,1.0,0.004962778091430664,1
13,gini,,sqrt,2,5,1.0,0.008599519729614258,1
14,gini,,sqrt,2,10,1.0,0.016863203048706053,1
15,gini,,sqrt,5,2,0.9993846153846153,0.014155817031860352,150
16,gini,,sqrt,5,5,0.9989227216201811,0.02171039581298828,160
17,gini,,sqrt,5,10,0.9989227216201811,0.023348331451416016,160
18,gini,,log2,1,2,1.0,0.025693130493164063,1
19,gini,,log2,1,5,1.0,0.024198198318481447,1
20,gini,,log2,1,10,1.0,0.011893510818481445,1
21,gini,,log2,2,2,1.0,0.01223454475402832,1
22,gini,,log2,2,5,1.0,0.014757823944091798,1
23,gini,,log2,2,10,1.0,0.013400936126708984,1
24,gini,,log2,5,2,0.9995381062355658,0.016997480392456056,129
25,gini,,log2,5,5,0.9989227216201811,0.012490987777709961,160
26,gini,,log2,5,10,0.9989227216201811,0.013602542877197265,160
27,gini,5,,1,2,0.9921534908509504,0.016251516342163087,226
28,gini,5,,1,5,0.9921534908509504,0.023648452758789063,226
29,gini,5,,1,10,0.9921534908509504,0.028360986709594728,226
30,gini,5,,2,2,0.9921534908509504,0.028648233413696288,226
31,gini,5,,2,5,0.9921534908509504,0.0151580810546875,226
32,gini,5,,2,10,0.9921534908509504,0.019138860702514648,226
33,gini,5,,5,2,0.9915381062355658,0.01811494827270508,232
34,gini,5,,5,5,0.9915381062355658,0.025604057312011718,232
35,gini,5,,5,10,0.9915381062355658,0.017167949676513673,232
36,gini,5,sqrt,1,2,0.9744590513412683,0.015430784225463868,246
37,gini,5,sqrt,1,5,0.9630711197962929,0.019328546524047852,262
38,gini,5,sqrt,1,10,0.9415268549772013,0.0224395751953125,270
39,gini,5,sqrt,2,2,0.982918931722627,0.022543668746948242,235
40,gini,5,sqrt,2,5,0.9669183395511339,0.010057020187377929,253
41,gini,5,sqrt,2,10,0.9792252028187363,0.013242053985595702,238
42,gini,5,sqrt,5,2,0.9706130159294132,0.019449901580810548,249
43,gini,5,sqrt,5,5,0.9783055604903181,0.01950063705444336,240
44,gini,5,sqrt,5,10,0.9649136021791911,0.012813615798950195,259
45,gini,5,log2,1,2,0.9781506484277849,0.013113689422607423,241
46,gini,5,log2,1,5,0.9643024811985551,0.019453954696655274,261
47,gini,5,log2,1,10,0.9516868597145735,0.01058492660522461,269
48,gini,5,log2,2,2,0.973075264996743,0.021492385864257814,247
49,gini,5,log2,2,5,0.9716905311778291,0.011110496520996094,248
50,gini,5,log2,2,10,0.9667660330431694,0.011582231521606446,254
51,gini,5,log2,5,2,0.9818447326345708,0.01253666877746582,236
52,gini,5,log2,5,5,0.9652231894356605,0.014468193054199219,257
53,gini,5,log2,5,10,0.9652249659501392,0.012178421020507812,256
54,gini,10,,1,2,1.0,0.016795015335083006,1
55,gini,10,,1,5,1.0,0.014488315582275391,1
56,gini,10,,1,10,1.0,0.020151424407958984,1
57,gini,10,,2,2,1.0,0.015447044372558593,1
58,gini,10,,2,5,1.0,0.014027118682861328,1
59,gini,10,,2,10,1.0,0.02163982391357422,1
60,gini,10,,5,2,0.9989227216201811,0.035296297073364256,160
61,gini,10,,5,5,0.9989227216201811,0.01839923858642578,160
62,gini,10,,5,10,0.9989227216201811,0.01971545219421387,160
63,gini,10,sqrt,1,2,1.0,0.019366741180419922,1
64,gini,10,sqrt,1,5,1.0,0.035811996459960936,1
65,gini,10,sqrt,1,10,0.998,0.022407388687133788,204
66,gini,10,sqrt,2,2,0.9987692307692309,0.029592514038085938,197
67,gini,10,sqrt,2,5,1.0,0.014107227325439453,1
68,gini,10,sqrt,2,10,0.9993846153846153,0.02447371482849121,150
69,gini,10,sqrt,5,2,0.9989227216201811,0.012252521514892579,160
70,gini,10,sqrt,5,5,0.9993846153846153,0.012147808074951172,150
71,gini,10,sqrt,5,10,0.9964597619470599,0.012674856185913085,210
72,gini,10,log2,1,2,0.9984607094214486,0.013395214080810547,201
73,gini,10,log2,1,5,0.9941530171137561,0.012244081497192383,225
74,gini,10,log2,1,10,1.0,0.012564373016357423,1
75,gini,10,log2,2,2,0.9986143187066976,0.013440847396850586,199
76,gini,10,log2,2,5,1.0,0.013506221771240234,1
77,gini,10,log2,2,10,0.9981538461538462,0.020672607421875,203
78,gini,10,log2,5,2,0.9972304139278736,0.01918063163757324,206
79,gini,10,log2,5,5,0.9963076923076922,0.011963081359863282,211
80,gini,10,log2,5,10,0.9989227216201811,0.01905059814453125,160
81,gini,15,,1,2,1.0,0.027458620071411134,1
82,gini,15,,1,5,1.0,0.02479238510131836,1
83,gini,15,,1,10,1.0,0.013014698028564453,1
84,gini,15,,2,2,1.0,0.016425704956054686,1
85,gini,15,,2,5,1.0,0.026662445068359374,1
86,gini,15,,2,10,1.0,0.018098783493041993,1
87,gini,15,,5,2,0.9989227216201811,0.014563560485839844,160
88,gini,15,,5,5,0.9989227216201811,0.014040422439575196,160
89,gini,15,,5,10,0.9989227216201811,0.014602279663085938,160
90,gini,15,sqrt,1,2,1.0,0.01262836456298828,1
91,gini,15,sqrt,1,5,1.0,0.010808706283569336,1
92,gini,15,sqrt,1,10,1.0,0.010678863525390625,1
93,gini,15,sqrt,2,2,1.0,0.011590528488159179,1
94,gini,15,sqrt,2,5,1.0,0.01811981201171875,1
95,gini,15,sqrt,2,10,1.0,0.016770648956298827,1
96,gini,15,sqrt,5,2,0.9989227216201811,0.01748337745666504,160
97,gini,15,sqrt,5,5,0.9993846153846153,0.015892696380615235,150
98,gini,15,sqrt,5,10,0.9993846153846153,0.012331151962280273,150
99,gini,15,log2,1,2,1.0,0.010626697540283203,1
100,gini,15,log2,1,5,1.0,0.01407928466796875,1
101,gini,15,log2,1,10,1.0,0.018997716903686523,1
102,gini,15,log2,2,2,1.0,0.021697425842285158,1
103,gini,15,log2,2,5,1.0,0.030700302124023436,1
104,gini,15,log2,2,10,1.0,0.03215188980102539,1
105,gini,15,log2,5,2,0.9989227216201811,0.02931866645812988,160
106,gini,15,log2,5,5,0.9989227216201811,0.028136396408081056,160
107,gini,15,log2,5,10,0.9989227216201811,0.014646768569946289,160
108,gini,20,,1,2,1.0,0.013621282577514649,1
109,gini,20,,1,5,1.0,0.01491084098815918,1
110,gini,20,,1,10,1.0,0.01492934226989746,1
111,gini,20,,2,2,1.0,0.014264583587646484,1
112,gini,20,,2,5,1.0,0.03142542839050293,1
113,gini,20,,2,10,1.0,0.02524228096008301,1
114,gini,20,,5,2,0.9989227216201811,0.015058374404907227,160
115,gini,20,,5,5,0.9989227216201811,0.013308286666870117,160
116,gini,20,,5,10,0.9989227216201811,0.01580071449279785,160
117,gini,20,sqrt,1,2,1.0,0.013054895401000976,1
118,gini,20,sqrt,1,5,1.0,0.02137913703918457,1
119,gini,20,sqrt,1,10,1.0,0.02757916450500488,1
120,gini,20,sqrt,2,2,1.0,0.024466609954833983,1
121,gini,20,sqrt,2,5,1.0,0.01318807601928711,1
122,gini,20,sqrt,2,10,1.0,0.010992860794067383,1
123,gini,20,sqrt,5,2,0.9995381062355658,0.013477277755737305,129
124,gini,20,sqrt,5,5,0.9995381062355658,0.014562416076660156,129
125,gini,20,sqrt,5,10,0.9989227216201811,0.023087596893310545,160
126,gini,20,log2,1,2,1.0,0.014251327514648438,1
127,gini,20,log2,1,5,1.0,0.011391210556030273,1
128,gini,20,log2,1,10,1.0,0.010724115371704101,1
129,gini,20,log2,2,2,1.0,0.015216255187988281,1
130,gini,20,log2,2,5,1.0,0.02086615562438965,1
