,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,mean_test_score,mean_fit_time,rank_test_score
0,,sqrt,1,2,10,1.0,0.08083772659301758,1
1,,sqrt,1,2,25,1.0,0.123225736618042,1
2,,sqrt,1,2,50,1.0,0.22369694709777832,1
3,,sqrt,1,2,100,1.0,0.5511591911315918,1
4,,sqrt,1,2,150,1.0,0.5480634212493897,1
5,,sqrt,1,2,200,1.0,0.8332940101623535,1
6,,sqrt,1,5,10,1.0,0.05990586280822754,1
7,,sqrt,1,5,25,1.0,0.1345383644104004,1
8,,sqrt,1,5,50,1.0,0.21502089500427246,1
9,,sqrt,1,5,100,1.0,0.4772336006164551,1
10,,sqrt,1,5,150,1.0,0.5938121795654296,1
11,,sqrt,1,5,200,1.0,0.8135990619659423,1
12,,sqrt,1,10,10,1.0,0.052012157440185544,1
13,,sqrt,1,10,25,1.0,0.1418231964111328,1
14,,sqrt,1,10,50,1.0,0.2443991184234619,1
15,,sqrt,1,10,100,1.0,0.6761844158172607,1
16,,sqrt,1,10,150,1.0,0.5816453456878662,1
17,,sqrt,1,10,200,1.0,0.9282009124755859,1
18,,sqrt,2,2,10,1.0,0.06478748321533204,1
19,,sqrt,2,2,25,0.9996923076923077,0.1440755844116211,229
20,,sqrt,2,2,50,0.9996923076923077,0.2858872890472412,229
21,,sqrt,2,2,100,0.9996923076923077,0.45066146850585936,229
22,,sqrt,2,2,150,0.9996923076923077,0.5747438430786133,229
23,,sqrt,2,2,200,0.9996923076923077,0.846571397781372,229
24,,sqrt,2,5,10,0.9996923076923077,0.04882240295410156,229
25,,sqrt,2,5,25,0.9996923076923077,0.11802043914794921,229
26,,sqrt,2,5,50,0.9996923076923077,0.2706331729888916,229
27,,sqrt,2,5,100,0.9996923076923077,0.3466180324554443,229
28,,sqrt,2,5,150,0.9996923076923077,0.6835332870483398,229
29,,sqrt,2,5,200,0.9996923076923077,0.8035680770874023,229
30,,sqrt,2,10,10,1.0,0.04947190284729004,1
31,,sqrt,2,10,25,0.9996923076923077,0.11015300750732422,229
32,,sqrt,2,10,50,0.9996923076923077,0.25678138732910155,229
33,,sqrt,2,10,100,0.9996923076923077,0.4464707851409912,229
34,,sqrt,2,10,150,0.9996923076923077,0.5463737487792969,229
35,,sqrt,2,10,200,0.9996923076923077,1.1330914497375488,229
36,,sqrt,4,2,10,0.9993846153846153,0.05278191566467285,337
37,,sqrt,4,2,25,0.9984611831586427,0.0974245548248291,401
38,,sqrt,4,2,50,0.9981534908509504,0.23307352066040038,449
39,,sqrt,4,2,100,0.9984611831586427,0.4081559658050537,401
40,,sqrt,4,2,150,0.9984611831586427,1.8300872325897217,401
41,,sqrt,4,2,200,0.9981534908509504,2.0918718814849853,449
42,,sqrt,4,5,10,0.9992304139278735,0.09147076606750489,355
43,,sqrt,4,5,25,0.9984611831586427,0.2659295558929443,401
44,,sqrt,4,5,50,0.9983073370047967,0.5452296257019043,440
45,,sqrt,4,5,100,0.9981534908509504,1.030420970916748,449
46,,sqrt,4,5,150,0.9981534908509504,1.705810260772705,449
47,,sqrt,4,5,200,0.9981534908509504,2.14276123046875,449
48,,sqrt,4,10,10,0.9986153846153847,0.15602898597717285,393
49,,sqrt,4,10,25,0.9984611831586427,0.2720488548278809,401
50,,sqrt,4,10,50,0.9981534908509504,0.5691743850708008,449
51,,sqrt,4,10,100,0.9987688754663351,1.0938766956329347,373
52,,sqrt,4,10,150,0.9981534908509504,1.4522077560424804,449
53,,sqrt,4,10,200,0.9984611831586427,2.1453050136566163,401
54,,log2,1,2,10,1.0,0.1348349094390869,1
55,,log2,1,2,25,1.0,0.30669641494750977,1
56,,log2,1,2,50,1.0,0.6037948608398438,1
57,,log2,1,2,100,1.0,1.1194578647613525,1
58,,log2,1,2,150,1.0,1.6229841232299804,1
59,,log2,1,2,200,1.0,2.170368194580078,1
60,,log2,1,5,10,1.0,0.09151310920715332,1
61,,log2,1,5,25,1.0,0.2076401710510254,1
62,,log2,1,5,50,1.0,0.6381961345672608,1
63,,log2,1,5,100,1.0,1.08966383934021,1
64,,log2,1,5,150,1.0,1.8771937847137452,1
65,,log2,1,5,200,1.0,1.9374429702758789,1
66,,log2,1,10,10,1.0,0.12148723602294922,1
67,,log2,1,10,25,1.0,0.29607200622558594,1
68,,log2,1,10,50,1.0,0.6126442909240722,1
69,,log2,1,10,100,1.0,1.0615269660949707,1
70,,log2,1,10,150,1.0,1.5530282974243164,1
71,,log2,1,10,200,1.0,1.797022008895874,1
72,,log2,2,2,10,0.9996923076923077,0.1462846279144287,229
73,,log2,2,2,25,0.9996923076923077,0.2840299129486084,229
74,,log2,2,2,50,0.9996923076923077,0.5948020935058593,229
75,,log2,2,2,100,0.9996923076923077,1.0178725719451904,229
76,,log2,2,2,150,0.9996923076923077,2.018070650100708,229
77,,log2,2,2,200,0.9996923076923077,2.4377137660980224,229
78,,log2,2,5,10,0.9996923076923077,0.10535945892333984,229
79,,log2,2,5,25,0.9996923076923077,0.32801499366760256,229
80,,log2,2,5,50,0.9996923076923077,0.7055112361907959,229
81,,log2,2,5,100,0.9996923076923077,1.2207462310791015,229
82,,log2,2,5,150,0.9996923076923077,1.8585993766784668,229
83,,log2,2,5,200,0.9996923076923077,1.9010879039764403,229
84,,log2,2,10,10,1.0,0.16833233833312988,1
85,,log2,2,10,25,0.9996923076923077,0.3793708324432373,229
86,,log2,2,10,50,0.9996923076923077,0.694598913192749,229
87,,log2,2,10,100,0.9996923076923077,0.9078775405883789,229
88,,log2,2,10,150,0.9996923076923077,1.6631421089172362,229
89,,log2,2,10,200,0.9996923076923077,1.908010768890381,229
90,,log2,4,2,10,0.9986150293124888,0.13989949226379395,396
91,,log2,4,2,25,0.9986153846153847,0.2631986141204834,393
92,,log2,4,2,50,0.9984611831586427,0.5184573173522949,401
93,,log2,4,2,100,0.9987688754663351,0.9738987445831299,373
94,,log2,4,2,150,0.9984611831586427,1.776148509979248,401
95,,log2,4,2,200,0.9984611831586427,2.1316465377807616,401
96,,log2,4,5,10,0.9984611831586427,0.08240776062011719,401
97,,log2,4,5,25,0.9983073370047967,0.19565458297729493,440
98,,log2,4,5,50,0.9983073370047967,0.46846609115600585,440
99,,log2,4,5,100,0.9984611831586427,1.230701494216919,401
100,,log2,4,5,150,0.9984611831586427,1.673682689666748,401
101,,log2,4,5,200,0.9987688754663351,1.9830259799957275,373
102,,log2,4,10,10,0.9978457985432581,0.16308188438415527,480
103,,log2,4,10,25,0.9987688754663351,0.29086055755615237,373
104,,log2,4,10,50,0.9987688754663351,0.6170260906219482,373
105,,log2,4,10,100,0.9984611831586427,1.1927483081817627,401
106,,log2,4,10,150,0.9981534908509504,1.411087703704834,449
107,,log2,4,10,200,0.9984611831586427,2.4999301433563232,401
