,param_n_neighbors,param_p,param_weights,mean_test_score,mean_fit_time,rank_test_score
0,3,1,uniform,1.0,0.05645718574523926,1
1,3,1,distance,1.0,0.07402920722961426,1
2,3,2,uniform,1.0,0.035626220703125,1
3,3,2,distance,1.0,0.03031001091003418,1
4,4,1,uniform,1.0,0.035111522674560545,1
5,4,1,distance,1.0,0.04790430068969727,1
6,4,2,uniform,1.0,0.0430750846862793,1
7,4,2,distance,1.0,0.046329498291015625,1
8,5,1,uniform,0.9996923076923077,0.037040185928344724,41
9,5,1,distance,1.0,0.058011770248413086,1
10,5,2,uniform,0.9995384615384616,0.04880247116088867,42
11,5,2,distance,1.0,0.055869436264038085,1
12,6,1,uniform,0.9990769230769232,0.041718244552612305,43
13,6,1,distance,1.0,0.03827214241027832,1
14,6,2,uniform,0.9989230769230769,0.06010556221008301,44
15,6,2,distance,1.0,0.05318446159362793,1
16,7,1,uniform,0.9978460354118553,0.049560165405273436,48
17,7,1,distance,1.0,0.04484691619873047,1
18,7,2,uniform,0.998,0.04757823944091797,46
19,7,2,distance,1.0,0.04484305381774902,1
20,8,1,uniform,0.9979998815657014,0.04464755058288574,47
21,8,1,distance,1.0,0.044993925094604495,1
22,8,2,uniform,0.9986153846153847,0.04778599739074707,45
23,8,2,distance,1.0,0.045053625106811525,1
24,9,1,uniform,0.9950763309054302,0.11503663063049316,51
25,9,1,distance,1.0,0.0738025188446045,1
26,9,2,uniform,0.9949226031858827,0.13659424781799318,52
27,9,2,distance,1.0,0.04511318206787109,1
28,10,1,uniform,0.995845561674661,0.03040928840637207,50
29,10,1,distance,1.0,0.03352499008178711,1
30,10,2,uniform,0.9958456801089597,0.03622722625732422,49
31,10,2,distance,1.0,0.05621323585510254,1
32,11,1,uniform,0.9941530171137563,0.06178426742553711,58
33,11,1,distance,1.0,0.04588403701782227,1
34,11,2,uniform,0.9941531355480547,0.04881415367126465,57
35,11,2,distance,1.0,0.05192475318908692,1
36,12,1,uniform,0.9939991709599101,0.03441290855407715,60
37,12,1,distance,1.0,0.05433802604675293,1
38,12,2,uniform,0.9944608278557471,0.037394142150878905,55
39,12,2,distance,1.0,0.03193888664245605,1
40,13,1,uniform,0.9932298217563806,0.035523509979248045,67
41,13,1,distance,1.0,0.05538573265075684,1
42,13,2,uniform,0.9932299401906792,0.045949792861938475,66
43,13,2,distance,1.0,0.04309592247009277,1
44,14,1,uniform,0.9941530171137561,0.04406275749206543,59
45,14,1,distance,1.0,0.041591215133666995,1
46,14,2,uniform,0.9939991709599101,0.04123497009277344,60
47,14,2,distance,1.0,0.04421243667602539,1
48,15,1,uniform,0.9929220110143898,0.05336127281188965,68
49,15,1,distance,1.0,0.06042346954345703,1
50,15,2,uniform,0.9933836679102269,0.058504676818847655,62
51,15,2,distance,1.0,0.04497346878051758,1
52,16,1,uniform,0.9946144371409961,0.03725519180297852,54
53,16,1,distance,1.0,0.0470059871673584,1
54,16,2,uniform,0.9933836679102267,0.045571517944335935,64
55,16,2,distance,1.0,0.044310808181762695,1
56,17,1,uniform,0.9933835494759282,0.03997225761413574,65
57,17,1,distance,1.0,0.04365096092224121,1
58,17,2,uniform,0.9921527802451588,0.034803915023803714,71
59,17,2,distance,1.0,0.036257600784301756,1
60,18,1,uniform,0.99446059098715,0.05421018600463867,56
61,18,1,distance,1.0,0.03668479919433594,1
62,18,2,uniform,0.9927681648605435,0.036301374435424805,70
63,18,2,distance,1.0,0.03646073341369629,1
64,19,1,uniform,0.9933836679102269,0.047414302825927734,62
65,19,1,distance,1.0,0.06831517219543456,1
66,19,2,uniform,0.9913835494759283,0.03587532043457031,72
67,19,2,distance,1.0,0.03728837966918945,1
68,20,1,uniform,0.9946145555752948,0.04673953056335449,53
69,20,1,distance,1.0,0.03661212921142578,1
70,20,2,uniform,0.9929220110143898,0.03757643699645996,68
71,20,2,distance,1.0,0.04098944664001465,1
