,param_C,param_max_iter,param_penalty,param_solver,mean_test_score,mean_fit_time,rank_test_score
0,0.01,100,l1,liblinear,0.8853679161485166,0.038784217834472653,246
1,0.01,100,l1,saga,0.8859840113696927,0.13037238121032715,241
2,0.01,100,l1,lbfgs,,0.002629518508911133,271
3,0.01,100,l1,newton-cg,,0.0017922401428222656,271
4,0.01,100,l2,liblinear,0.8818280333984723,0.03212251663208008,251
5,0.01,100,l2,saga,0.8704431811452598,0.1361607551574707,256
6,0.01,100,l2,lbfgs,0.8704431811452598,0.057651853561401366,256
7,0.01,100,l2,newton-cg,0.8704431811452598,0.044183969497680664,256
8,0.01,100,elasticnet,liblinear,,0.002123260498046875,271
9,0.01,100,elasticnet,saga,,0.0030457019805908204,271
10,0.01,100,elasticnet,lbfgs,,0.002503824234008789,271
11,0.01,100,elasticnet,newton-cg,,0.0033573150634765626,271
12,0.01,100,,liblinear,,0.0033173561096191406,271
13,0.01,100,,saga,0.9109087463729495,0.25994420051574707,1
14,0.01,100,,lbfgs,0.9109087463729495,0.16673874855041504,1
15,0.01,100,,newton-cg,0.9109087463729495,0.10777177810668945,1
16,0.01,200,l1,liblinear,0.8853679161485166,0.11258411407470703,246
17,0.01,200,l1,saga,0.8859840113696927,0.20431389808654785,241
18,0.01,200,l1,lbfgs,,0.0029055595397949217,271
19,0.01,200,l1,newton-cg,,0.007220792770385742,271
20,0.01,200,l2,liblinear,0.8818280333984723,0.03192720413208008,251
21,0.01,200,l2,saga,0.8704431811452598,0.10565304756164551,256
22,0.01,200,l2,lbfgs,0.8704431811452598,0.07444767951965332,256
23,0.01,200,l2,newton-cg,0.8704431811452598,0.1033738136291504,256
24,0.01,200,elasticnet,liblinear,,0.004376888275146484,271
25,0.01,200,elasticnet,saga,,0.00279693603515625,271
26,0.01,200,elasticnet,lbfgs,,0.003464794158935547,271
27,0.01,200,elasticnet,newton-cg,,0.002049827575683594,271
28,0.01,200,,liblinear,,0.002818727493286133,271
29,0.01,200,,saga,0.9109087463729495,0.5113470077514648,1
30,0.01,200,,lbfgs,0.9109087463729495,0.13348021507263183,1
31,0.01,200,,newton-cg,0.9109087463729495,0.10454120635986328,1
32,0.01,300,l1,liblinear,0.8853679161485166,0.04544358253479004,246
33,0.01,300,l1,saga,0.8859840113696927,0.21574664115905762,241
34,0.01,300,l1,lbfgs,,0.01233501434326172,271
35,0.01,300,l1,newton-cg,,0.004992532730102539,271
36,0.01,300,l2,liblinear,0.8818280333984723,0.03560662269592285,251
37,0.01,300,l2,saga,0.8704431811452598,0.1253674030303955,256
38,0.01,300,l2,lbfgs,0.8704431811452598,0.06869068145751953,256
39,0.01,300,l2,newton-cg,0.8704431811452598,0.05681376457214356,256
40,0.01,300,elasticnet,liblinear,,0.0055945396423339845,271
41,0.01,300,elasticnet,saga,,0.004076194763183594,271
42,0.01,300,elasticnet,lbfgs,,0.003103351593017578,271
43,0.01,300,elasticnet,newton-cg,,0.004619598388671875,271
44,0.01,300,,liblinear,,0.002570486068725586,271
45,0.01,300,,saga,0.9109087463729495,0.4248940467834473,1
46,0.01,300,,lbfgs,0.9109087463729495,0.0645181655883789,1
47,0.01,300,,newton-cg,0.9109087463729495,0.06891231536865235,1
48,0.01,400,l1,liblinear,0.8853679161485166,0.04069914817810059,246
49,0.01,400,l1,saga,0.8859840113696927,0.16363873481750488,241
50,0.01,400,l1,lbfgs,,0.0020246028900146483,271
51,0.01,400,l1,newton-cg,,0.002131223678588867,271
52,0.01,400,l2,liblinear,0.8818280333984723,0.033518743515014646,251
53,0.01,400,l2,saga,0.8704431811452598,0.23814969062805175,256
54,0.01,400,l2,lbfgs,0.8704431811452598,0.11921830177307129,256
55,0.01,400,l2,newton-cg,0.8704431811452598,0.07633886337280274,256
56,0.01,400,elasticnet,liblinear,,0.0056743621826171875,271
57,0.01,400,elasticnet,saga,,0.005087661743164063,271
58,0.01,400,elasticnet,lbfgs,,0.004897212982177735,271
59,0.01,400,elasticnet,newton-cg,,0.00285191535949707,271
60,0.01,400,,liblinear,,0.003325748443603516,271
61,0.01,400,,saga,0.9109087463729495,0.3341045379638672,1
62,0.01,400,,lbfgs,0.9109087463729495,0.16929154396057128,1
63,0.01,400,,newton-cg,0.9109087463729495,0.08925433158874511,1
64,0.01,500,l1,liblinear,0.8853679161485166,0.047640752792358396,246
65,0.01,500,l1,saga,0.8859840113696927,0.13323473930358887,241
66,0.01,500,l1,lbfgs,,0.004022455215454102,271
67,0.01,500,l1,newton-cg,,0.005165576934814453,271
68,0.01,500,l2,liblinear,0.8818280333984723,0.030449485778808592,251
69,0.01,500,l2,saga,0.8704431811452598,0.11868605613708497,256
70,0.01,500,l2,lbfgs,0.8704431811452598,0.07050538063049316,256
71,0.01,500,l2,newton-cg,0.8704431811452598,0.06516575813293457,256
72,0.01,500,elasticnet,liblinear,,0.007821798324584961,271
73,0.01,500,elasticnet,saga,,0.0038560867309570313,271
74,0.01,500,elasticnet,lbfgs,,0.0035265445709228515,271
75,0.01,500,elasticnet,newton-cg,,0.00284881591796875,271
76,0.01,500,,liblinear,,0.002883625030517578,271
77,0.01,500,,saga,0.9109087463729495,0.19975752830505372,1
78,0.01,500,,lbfgs,0.9109087463729495,0.06821846961975098,1
79,0.01,500,,newton-cg,0.9109087463729495,0.08118128776550293,1
80,0.1,100,l1,liblinear,0.9078314679931306,0.07257614135742188,216
81,0.1,100,l1,saga,0.9090622372239,0.24156107902526855,196
82,0.1,100,l1,lbfgs,,0.00374603271484375,271
83,0.1,100,l1,newton-cg,,0.011014461517333984,271
84,0.1,100,l2,liblinear,0.8990605791437201,0.05245862007141113,236
85,0.1,100,l2,saga,0.8998304020844436,0.21963696479797362,221
86,0.1,100,l2,lbfgs,0.8998304020844436,0.08299441337585449,221
87,0.1,100,l2,newton-cg,0.8998304020844436,0.06799812316894531,221
88,0.1,100,elasticnet,liblinear,,0.0027617454528808595,271
89,0.1,100,elasticnet,saga,,0.004524993896484375,271
90,0.1,100,elasticnet,lbfgs,,0.0047356605529785155,271
91,0.1,100,elasticnet,newton-cg,,0.003254079818725586,271
92,0.1,100,,liblinear,,0.002022075653076172,271
93,0.1,100,,saga,0.9109087463729495,0.1893092632293701,1
94,0.1,100,,lbfgs,0.9109087463729495,0.06157164573669434,1
95,0.1,100,,newton-cg,0.9109087463729495,0.08397898674011231,1
96,0.1,200,l1,liblinear,0.9078314679931306,0.10595808029174805,216
97,0.1,200,l1,saga,0.9090622372239,0.1967916488647461,196
98,0.1,200,l1,lbfgs,,0.0022502422332763674,271
99,0.1,200,l1,newton-cg,,0.0028212547302246095,271
100,0.1,200,l2,liblinear,0.8990605791437201,0.03544850349426269,236
101,0.1,200,l2,saga,0.8998304020844436,0.18940258026123047,221
102,0.1,200,l2,lbfgs,0.8998304020844436,0.06026778221130371,221
103,0.1,200,l2,newton-cg,0.8998304020844436,0.06060786247253418,221
104,0.1,200,elasticnet,liblinear,,0.0025433063507080077,271
105,0.1,200,elasticnet,saga,,0.0022336483001708985,271
106,0.1,200,elasticnet,lbfgs,,0.0024345874786376952,271
107,0.1,200,elasticnet,newton-cg,,0.003502035140991211,271
108,0.1,200,,liblinear,,0.0027207851409912108,271
109,0.1,200,,saga,0.9109087463729495,0.22834019660949706,1
110,0.1,200,,lbfgs,0.9109087463729495,0.05375437736511231,1
111,0.1,200,,newton-cg,0.9109087463729495,0.06812849044799804,1
112,0.1,300,l1,liblinear,0.9078314679931306,0.09817476272583008,216
113,0.1,300,l1,saga,0.9090622372239,0.23333115577697755,196
114,0.1,300,l1,lbfgs,,0.002422046661376953,271
115,0.1,300,l1,newton-cg,,0.0023953914642333984,271
116,0.1,300,l2,liblinear,0.8990605791437201,0.032985258102416995,236
117,0.1,300,l2,saga,0.8998304020844436,0.1907564640045166,221
118,0.1,300,l2,lbfgs,0.8998304020844436,0.05273451805114746,221
119,0.1,300,l2,newton-cg,0.8998304020844436,0.07090983390808106,221
120,0.1,300,elasticnet,liblinear,,0.0029052734375,271
121,0.1,300,elasticnet,saga,,0.0021732330322265627,271
122,0.1,300,elasticnet,lbfgs,,0.002897167205810547,271
123,0.1,300,elasticnet,newton-cg,,0.0020065784454345705,271
124,0.1,300,,liblinear,,0.0028899192810058595,271
125,0.1,300,,saga,0.9109087463729495,0.2048952102661133,1
126,0.1,300,,lbfgs,0.9109087463729495,0.06768155097961426,1
127,0.1,300,,newton-cg,0.9109087463729495,0.05269646644592285,1
128,0.1,400,l1,liblinear,0.9078314679931306,0.08719148635864257,216
129,0.1,400,l1,saga,0.9090622372239,0.27692255973815916,196
130,0.1,400,l1,lbfgs,,0.0020503997802734375,271
131,0.1,400,l1,newton-cg,,0.002758693695068359,271
132,0.1,400,l2,liblinear,0.8990605791437201,0.02843136787414551,236
133,0.1,400,l2,saga,0.8998304020844436,0.15227146148681642,221
134,0.1,400,l2,lbfgs,0.8998304020844436,0.05205006599426269,221
135,0.1,400,l2,newton-cg,0.8998304020844436,0.05420141220092774,221
136,0.1,400,elasticnet,liblinear,,0.0017868995666503907,271
137,0.1,400,elasticnet,saga,,0.0024834156036376955,271
138,0.1,400,elasticnet,lbfgs,,0.002634096145629883,271
139,0.1,400,elasticnet,newton-cg,,0.0030852317810058593,271
140,0.1,400,,liblinear,,0.002023172378540039,271
141,0.1,400,,saga,0.9109087463729495,0.2619496822357178,1
142,0.1,400,,lbfgs,0.9109087463729495,0.05449609756469727,1
143,0.1,400,,newton-cg,0.9109087463729495,0.04953656196594238,1
144,0.1,500,l1,liblinear,0.9078314679931306,0.08273353576660156,216
145,0.1,500,l1,saga,0.9090622372239,0.20426459312438966,196
146,0.1,500,l1,lbfgs,,0.002026796340942383,271
147,0.1,500,l1,newton-cg,,0.004063558578491211,271
148,0.1,500,l2,liblinear,0.8990605791437201,0.03021893501281738,236
149,0.1,500,l2,saga,0.8998304020844436,0.1558683395385742,221
150,0.1,500,l2,lbfgs,0.8998304020844436,0.05984296798706055,221
151,0.1,500,l2,newton-cg,0.8998304020844436,0.05651302337646484,221
152,0.1,500,elasticnet,liblinear,,0.0017969608306884766,271
153,0.1,500,elasticnet,saga,,0.0024253368377685548,271
154,0.1,500,elasticnet,lbfgs,,0.007288360595703125,271
155,0.1,500,elasticnet,newton-cg,,0.002781534194946289,271
156,0.1,500,,liblinear,,0.001779460906982422,271
157,0.1,500,,saga,0.9109087463729495,0.22794570922851562,1
158,0.1,500,,lbfgs,0.9109087463729495,0.05882134437561035,1
159,0.1,500,,newton-cg,0.9109087463729495,0.054155397415161136,1
160,0.5,100,l1,liblinear,0.9090622372239,0.08754982948303222,196
161,0.5,100,l1,saga,0.9104468526085153,0.22483081817626954,151
162,0.5,100,l1,lbfgs,,0.0027541637420654295,271
163,0.5,100,l1,newton-cg,,0.0038190841674804687,271
164,0.5,100,l2,liblinear,0.908139160300823,0.03120145797729492,211
165,0.5,100,l2,saga,0.9104468526085153,0.20444416999816895,151
166,0.5,100,l2,lbfgs,0.9104468526085153,0.047057723999023436,151
167,0.5,100,l2,newton-cg,0.9104468526085153,0.06326169967651367,151
168,0.5,100,elasticnet,liblinear,,0.002424955368041992,271
169,0.5,100,elasticnet,saga,,0.0018310070037841797,271
170,0.5,100,elasticnet,lbfgs,,0.003089427947998047,271
171,0.5,100,elasticnet,newton-cg,,0.003028726577758789,271
172,0.5,100,,liblinear,,0.003297281265258789,271
173,0.5,100,,saga,0.9109087463729495,0.3471987247467041,1
174,0.5,100,,lbfgs,0.9109087463729495,0.049501895904541016,1
175,0.5,100,,newton-cg,0.9109087463729495,0.05256471633911133,1
176,0.5,200,l1,liblinear,0.9090622372239,0.1352161407470703,196
177,0.5,200,l1,saga,0.9104468526085153,0.2591226577758789,151
178,0.5,200,l1,lbfgs,,0.002925682067871094,271
179,0.5,200,l1,newton-cg,,0.0176389217376709,271
180,0.5,200,l2,liblinear,0.908139160300823,0.03952832221984863,211
181,0.5,200,l2,saga,0.9104468526085153,0.24130544662475586,151
182,0.5,200,l2,lbfgs,0.9104468526085153,0.07758769989013672,151
183,0.5,200,l2,newton-cg,0.9104468526085153,0.0457094669342041,151
184,0.5,200,elasticnet,liblinear,,0.002732372283935547,271
185,0.5,200,elasticnet,saga,,0.00375218391418457,271
186,0.5,200,elasticnet,lbfgs,,0.0030907154083251952,271
