,param_learning_rate,param_n_estimators,mean_test_score,mean_fit_time,rank_test_score
0,0.01,50,0.8964466157399184,0.9621517181396484,28
1,0.01,75,0.9264502872031741,1.4282261848449707,27
2,0.01,100,0.9587625984485107,1.782623815536499,26
3,0.01,125,0.9607627168828092,2.1185658454895018,22
4,0.01,150,0.9607627168828092,3.2131761074066163,22
5,0.01,175,0.9607627168828092,4.95055251121521,22
6,0.01,200,0.9607627168828092,5.663938903808594,22
7,0.05,50,0.9669179842482383,1.2115671157836914,21
8,0.05,75,0.9750727778764731,1.8799134254455567,20
9,0.05,100,0.9810734884822644,2.6170725345611574,17
10,0.05,125,0.9841517143364719,2.29488000869751,15
11,0.05,150,0.9806121868893232,2.7554410457611085,18
12,0.05,175,0.9827660330431695,2.856134223937988,16
13,0.05,200,0.9853824835672411,3.4692664623260496,12
14,0.1,50,0.9793811807899567,0.806476640701294,19
15,0.1,75,0.9849209451057026,1.2909634590148926,13
16,0.1,100,0.9843050867531238,1.2500547885894775,14
17,0.1,125,0.9859977497483271,1.5086763858795167,11
18,0.1,150,0.9873830757387339,2.5331389904022217,10
19,0.1,175,0.9909218925800911,3.162892198562622,9
20,0.1,200,0.9933834310416298,3.4471569061279297,8
21,1.0,50,1.0,0.7955605030059815,1
22,1.0,75,1.0,1.400108528137207,1
23,1.0,100,1.0,1.899132251739502,1
24,1.0,125,1.0,1.6898223876953125,1
25,1.0,150,1.0,2.5129119873046877,1
26,1.0,175,1.0,3.254611301422119,1
27,1.0,200,1.0,3.750463342666626,1
