,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,mean_test_score,mean_fit_time,rank_test_score
0,gini,,,1,2,1.0,0.22133135795593262,1
1,gini,,,1,5,1.0,0.05484261512756348,1
2,gini,,,1,10,0.9998461538461537,0.07108931541442871,65
3,gini,,,2,2,1.0,0.24202547073364258,1
4,gini,,,2,5,1.0,0.23000879287719728,1
5,gini,,,2,10,0.9995384615384616,0.1464906692504883,113
6,gini,,,5,2,0.9989230769230769,0.1380396842956543,148
7,gini,,,5,5,0.9989230769230769,0.0570279598236084,148
8,gini,,,5,10,0.9989230769230769,0.048673820495605466,148
9,gini,,sqrt,1,2,0.9998460354118552,0.022028160095214844,88
10,gini,,sqrt,1,5,0.9998461538461537,0.015919065475463866,65
11,gini,,sqrt,1,10,0.9992307692307693,0.014333343505859375,128
12,gini,,sqrt,2,2,0.9995384615384616,0.026469850540161134,113
13,gini,,sqrt,2,5,0.9993846153846153,0.06082520484924316,123
14,gini,,sqrt,2,10,1.0,0.017260122299194335,1
15,gini,,sqrt,5,2,0.9978457985432581,0.02060542106628418,193
16,gini,,sqrt,5,5,0.9984610647243443,0.043053293228149415,177
17,gini,,sqrt,5,10,0.9984610647243441,0.014689922332763672,178
18,gini,,log2,1,2,1.0,0.024367904663085936,1
19,gini,,log2,1,5,0.9996923076923077,0.01994748115539551,96
20,gini,,log2,1,10,0.9987687570320365,0.033812952041625974,168
21,gini,,log2,2,2,1.0,0.01861462593078613,1
22,gini,,log2,2,5,0.9998460354118552,0.01642770767211914,88
23,gini,,log2,2,10,0.9986147924438917,0.01356492042541504,172
24,gini,,log2,5,2,0.9983074554390952,0.03210597038269043,184
25,gini,,log2,5,5,0.9983075738733937,0.024322938919067384,183
26,gini,,log2,5,10,0.9975381062355659,0.04429783821105957,196
27,gini,5,,1,2,0.9806121868893232,0.054751014709472655,219
28,gini,5,,1,5,0.9806121868893232,0.031017303466796875,219
29,gini,5,,1,10,0.9806121868893232,0.09659638404846191,219
30,gini,5,,2,2,0.9806121868893232,0.1008293628692627,219
31,gini,5,,2,5,0.9806121868893232,0.03760361671447754,219
32,gini,5,,2,10,0.9806121868893232,0.047449922561645506,219
33,gini,5,,5,2,0.9806121868893232,0.10302081108093261,219
34,gini,5,,5,5,0.9806121868893232,0.08203554153442383,219
35,gini,5,,5,10,0.9806121868893232,0.07583503723144532,219
36,gini,5,sqrt,1,2,0.9744583407354771,0.0488640308380127,244
37,gini,5,sqrt,1,5,0.9770721857049802,0.1204465389251709,239
38,gini,5,sqrt,1,10,0.9629182211168354,0.09364967346191407,261
39,gini,5,sqrt,2,2,0.9644573932610884,0.03498578071594238,259
40,gini,5,sqrt,2,5,0.9863046130159294,0.0303555965423584,217
41,gini,5,sqrt,2,10,0.9673786936696868,0.015163230895996093,253
42,gini,5,sqrt,5,2,0.9639941967193698,0.015163421630859375,260
43,gini,5,sqrt,5,5,0.957839758394031,0.11553459167480469,265
44,gini,5,sqrt,5,10,0.9536892284005448,0.016416549682617188,270
45,gini,5,log2,1,2,0.9738444957659738,0.021545839309692384,245
