,param_n_neighbors,param_p,param_weights,mean_test_score,mean_fit_time,rank_test_score
0,3,1,uniform,1.0,0.023801231384277345,1
1,3,1,distance,1.0,0.05499358177185058,1
2,3,2,uniform,0.9995384615384616,0.02834806442260742,37
3,3,2,distance,0.9995384615384616,0.025957584381103516,37
4,4,1,uniform,1.0,0.017895603179931642,1
5,4,1,distance,1.0,0.03798661231994629,1
6,4,2,uniform,0.9990769230769232,0.021277475357055663,41
7,4,2,distance,0.9995384615384616,0.022026443481445314,37
8,5,1,uniform,1.0,0.016733503341674803,1
9,5,1,distance,1.0,0.016255760192871095,1
10,5,2,uniform,0.9983073370047965,0.0155548095703125,48
11,5,2,distance,0.9992306507964706,0.01623234748840332,40
12,6,1,uniform,1.0,0.018533039093017577,1
13,6,1,distance,1.0,0.02031736373901367,1
14,6,2,uniform,0.998153609285249,0.018656349182128905,49
15,6,2,distance,0.9986151477467875,0.01570925712585449,43
16,7,1,uniform,1.0,0.016602420806884767,1
17,7,1,distance,1.0,0.014410734176635742,1
18,7,2,uniform,0.9975381062355659,0.0265322208404541,55
19,7,2,distance,0.9984613015929413,0.029770898818969726,44
20,8,1,uniform,1.0,0.016678380966186523,1
21,8,1,distance,1.0,0.015355682373046875,1
22,8,2,uniform,0.9969226031858825,0.016389083862304688,58
23,8,2,distance,0.998153609285249,0.021306180953979494,49
24,9,1,uniform,1.0,0.020189571380615234,1
25,9,1,distance,1.0,0.04137735366821289,1
26,9,2,uniform,0.9975379878012672,0.015060806274414062,57
27,9,2,distance,0.9983073370047967,0.018746089935302735,47
28,10,1,uniform,1.0,0.025624990463256836,1
29,10,1,distance,1.0,0.01536712646484375,1
30,10,2,uniform,0.9966147924438917,0.019635677337646484,60
31,10,2,distance,0.9983074554390952,0.019299793243408202,46
32,11,1,uniform,1.0,0.014193582534790038,1
33,11,1,distance,1.0,0.01266012191772461,1
34,11,2,uniform,0.9967686385977379,0.03474617004394531,59
35,11,2,distance,0.9984613015929413,0.0348393440246582,44
36,12,1,uniform,1.0,0.020737266540527342,1
37,12,1,distance,1.0,0.02107272148132324,1
38,12,2,uniform,0.9955377509326702,0.015637779235839845,64
39,12,2,distance,0.9986152661810861,0.020414400100708007,42
40,13,1,uniform,1.0,0.027847862243652342,1
41,13,1,distance,1.0,0.016665029525756835,1
42,13,2,uniform,0.9958454432403625,0.020967864990234376,61
43,13,2,distance,0.998153609285249,0.02512331008911133,49
44,14,1,uniform,0.9998461538461537,0.022621917724609374,30
45,14,1,distance,1.0,0.013969993591308594,1
46,14,2,uniform,0.9949220110143898,0.015006113052368163,66
47,14,2,distance,0.9979996446971043,0.024609804153442383,52
48,15,1,uniform,0.9998461538461537,0.027690649032592773,30
49,15,1,distance,1.0,0.029765987396240236,1
50,15,2,uniform,0.9949220110143898,0.029610681533813476,66
51,15,2,distance,0.9976918339551135,0.02669548988342285,54
52,16,1,uniform,0.9998461538461537,0.01853046417236328,30
53,16,1,distance,1.0,0.021208524703979492,1
54,16,2,uniform,0.9924604725528514,0.03406281471252441,69
55,16,2,distance,0.997691952389412,0.01675248146057129,53
56,17,1,uniform,0.9998461538461537,0.019261837005615234,30
57,17,1,distance,1.0,0.018375921249389648,1
58,17,2,uniform,0.9930758571682361,0.020724391937255858,68
59,17,2,distance,0.9975381062355659,0.04539389610290527,55
60,18,1,uniform,0.9998461538461537,0.02442798614501953,30
61,18,1,distance,1.0,0.026903343200683594,1
62,18,2,uniform,0.9907680464262452,0.021283054351806642,70
63,18,2,distance,0.9958452063717653,0.08359522819519043,63
64,19,1,uniform,0.9998461538461537,0.0570164680480957,30
65,19,1,distance,1.0,0.04737725257873535,1
66,19,2,uniform,0.9907679279919464,0.022520780563354492,71
67,19,2,distance,0.9958453248060639,0.025211095809936523,62
68,20,1,uniform,0.9998461538461537,0.030831623077392577,30
69,20,1,distance,1.0,0.03746976852416992,1
70,20,2,uniform,0.9895372771954758,0.025423526763916016,72
71,20,2,distance,0.9955376324983716,0.04494352340698242,65
