,param_C,param_max_iter,param_penalty,param_solver,mean_test_score,mean_fit_time,rank_test_score
0,0.01,50,l1,liblinear,0.908138686563629,0.18581075668334962,491
1,0.01,50,l1,saga,0.9173707585716825,0.715609359741211,490
2,0.01,50,l1,lbfgs,,0.012608671188354492,541
3,0.01,50,l1,newton-cg,,0.005200004577636719,541
4,0.01,50,l2,liblinear,0.905216675549239,0.11338911056518555,501
5,0.01,50,l2,saga,0.9046011724995559,0.4996017932891846,511
6,0.01,50,l2,lbfgs,0.9032160833777461,0.1397721767425537,540
7,0.01,50,l2,newton-cg,0.9038314679931307,0.19397387504577637,520
8,0.01,50,elasticnet,liblinear,,0.004203891754150391,541
9,0.01,50,elasticnet,saga,,0.00630030632019043,541
10,0.01,50,elasticnet,lbfgs,,0.01587395668029785,541
11,0.01,50,elasticnet,newton-cg,,0.02026681900024414,541
12,0.01,50,,liblinear,,0.006077909469604492,541
13,0.01,50,,saga,0.9492224788298691,0.7637338161468505,396
14,0.01,50,,lbfgs,0.954916089299461,0.20098023414611815,310
15,0.01,50,,newton-cg,0.9606091075975602,0.4082153797149658,82
16,0.01,100,l1,liblinear,0.908138686563629,0.22214813232421876,491
17,0.01,100,l1,saga,0.9173714691774737,1.4273909091949464,481
18,0.01,100,l1,lbfgs,,0.008961868286132813,541
19,0.01,100,l1,newton-cg,,0.007841730117797851,541
20,0.01,100,l2,liblinear,0.905216675549239,0.2076272964477539,501
21,0.01,100,l2,saga,0.9038319417303249,1.4505382537841798,519
22,0.01,100,l2,lbfgs,0.9038314679931307,0.18304386138916015,520
23,0.01,100,l2,newton-cg,0.9038314679931307,0.1037363052368164,520
24,0.01,100,elasticnet,liblinear,,0.010301780700683594,541
25,0.01,100,elasticnet,saga,,0.0072825908660888675,541
26,0.01,100,elasticnet,lbfgs,,0.008182334899902343,541
27,0.01,100,elasticnet,newton-cg,,0.0031776905059814455,541
28,0.01,100,,liblinear,,0.003942060470581055,541
29,0.01,100,,saga,0.9541450820157518,1.2648936271667481,334
30,0.01,100,,lbfgs,0.9616857938058863,0.39098100662231444,7
31,0.01,100,,newton-cg,0.9606091075975602,0.3199409008026123,82
32,0.01,150,l1,liblinear,0.908138686563629,0.22911553382873534,491
33,0.01,150,l1,saga,0.9173714691774737,1.2251307964324951,481
34,0.01,150,l1,lbfgs,,0.005922698974609375,541
35,0.01,150,l1,newton-cg,,0.014234972000122071,541
36,0.01,150,l2,liblinear,0.905216675549239,0.12909440994262694,501
37,0.01,150,l2,saga,0.9036777402735832,1.6174792289733886,539
38,0.01,150,l2,lbfgs,0.9038314679931307,0.1385500907897949,520
39,0.01,150,l2,newton-cg,0.9038314679931307,0.17179517745971679,520
40,0.01,150,elasticnet,liblinear,,0.008197307586669922,541
41,0.01,150,elasticnet,saga,,0.006133222579956054,541
42,0.01,150,elasticnet,lbfgs,,0.006654024124145508,541
43,0.01,150,elasticnet,newton-cg,,0.011610078811645507,541
44,0.01,150,,liblinear,,0.004000806808471679,541
45,0.01,150,,saga,0.9556841357257062,1.4182990550994874,297
46,0.01,150,,lbfgs,0.9621475691360217,0.3311729907989502,1
47,0.01,150,,newton-cg,0.9606091075975602,0.22594876289367677,82
48,0.01,200,l1,liblinear,0.908138686563629,0.12129931449890137,491
49,0.01,200,l1,saga,0.9173714691774737,1.1256295680999755,481
50,0.01,200,l1,lbfgs,,0.008117103576660156,541
51,0.01,200,l1,newton-cg,,0.007111549377441406,541
52,0.01,200,l2,liblinear,0.905216675549239,0.11243681907653809,501
53,0.01,200,l2,saga,0.9039853141469768,1.247316026687622,512
54,0.01,200,l2,lbfgs,0.9038314679931307,0.11475052833557128,520
55,0.01,200,l2,newton-cg,0.9038314679931307,0.12218747138977051,520
56,0.01,200,elasticnet,liblinear,,0.015174579620361329,541
57,0.01,200,elasticnet,saga,,0.0037798404693603514,541
58,0.01,200,elasticnet,lbfgs,,0.004160404205322266,541
59,0.01,200,elasticnet,newton-cg,,0.009058046340942382,541
60,0.01,200,,liblinear,,0.0062335491180419925,541
61,0.01,200,,saga,0.9573769171552081,1.5685405731201172,283
62,0.01,200,,lbfgs,0.9615321845206373,0.3289629459381104,13
63,0.01,200,,newton-cg,0.9606091075975602,0.22051420211791992,82
64,0.01,250,l1,liblinear,0.908138686563629,0.13991317749023438,491
65,0.01,250,l1,saga,0.9173714691774737,1.0211328506469726,481
66,0.01,250,l1,lbfgs,,0.010963344573974609,541
67,0.01,250,l1,newton-cg,,0.00404667854309082,541
68,0.01,250,l2,liblinear,0.905216675549239,0.08698511123657227,501
69,0.01,250,l2,saga,0.9039853141469768,1.3152034759521485,512
70,0.01,250,l2,lbfgs,0.9038314679931307,0.1309887409210205,520
71,0.01,250,l2,newton-cg,0.9038314679931307,0.12001714706420899,520
72,0.01,250,elasticnet,liblinear,,0.007415342330932617,541
73,0.01,250,elasticnet,saga,,0.007259464263916016,541
74,0.01,250,elasticnet,lbfgs,,0.009953880310058593,541
75,0.01,250,elasticnet,newton-cg,,0.004674959182739258,541
76,0.01,250,,liblinear,,0.004215717315673828,541
77,0.01,250,,saga,0.9575311186119502,1.8800010681152344,261
78,0.01,250,,lbfgs,0.9607629537514064,0.4774614810943604,64
79,0.01,250,,newton-cg,0.9606091075975602,0.21715865135192872,82
80,0.01,300,l1,liblinear,0.908138686563629,0.12288522720336914,491
81,0.01,300,l1,saga,0.9173714691774737,0.8926698207855225,481
82,0.01,300,l1,lbfgs,,0.0072704792022705075,541
83,0.01,300,l1,newton-cg,,0.0037807941436767576,541
84,0.01,300,l2,liblinear,0.905216675549239,0.07347316741943359,501
