,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,mean_test_score,mean_fit_time,rank_test_score
0,,sqrt,1,2,10,1.0,0.16389403343200684,1
1,,sqrt,1,2,25,1.0,0.38748693466186523,1
2,,sqrt,1,2,50,1.0,0.7759020805358887,1
3,,sqrt,1,2,100,1.0,1.4268630504608155,1
4,,sqrt,1,2,150,1.0,2.589909791946411,1
5,,sqrt,1,2,200,1.0,3.0479093551635743,1
6,,sqrt,1,5,10,1.0,0.1577157974243164,1
7,,sqrt,1,5,25,1.0,0.3088831901550293,1
8,,sqrt,1,5,50,1.0,0.7205541133880615,1
9,,sqrt,1,5,100,1.0,1.1436397075653075,1
10,,sqrt,1,5,150,1.0,2.2807936668395996,1
11,,sqrt,1,5,200,1.0,4.048345565795898,1
12,,sqrt,1,10,10,1.0,0.219712495803833,1
13,,sqrt,1,10,25,1.0,0.6184169769287109,1
14,,sqrt,1,10,50,1.0,0.9176364421844483,1
15,,sqrt,1,10,100,1.0,1.90584454536438,1
16,,sqrt,1,10,150,1.0,2.121281147003174,1
17,,sqrt,1,10,200,1.0,2.131859016418457,1
18,,sqrt,2,2,10,1.0,0.14043378829956055,1
19,,sqrt,2,2,25,1.0,0.3799269199371338,1
20,,sqrt,2,2,50,1.0,0.7029365062713623,1
21,,sqrt,2,2,100,1.0,1.127737808227539,1
22,,sqrt,2,2,150,1.0,1.7974875450134278,1
23,,sqrt,2,2,200,1.0,2.513515567779541,1
24,,sqrt,2,5,10,1.0,0.1637890338897705,1
25,,sqrt,2,5,25,1.0,0.4441561698913574,1
26,,sqrt,2,5,50,1.0,0.5882209777832031,1
27,,sqrt,2,5,100,1.0,1.4430169105529784,1
28,,sqrt,2,5,150,1.0,2.149502754211426,1
29,,sqrt,2,5,200,1.0,2.3342354774475096,1
30,,sqrt,2,10,10,1.0,0.14516158103942872,1
31,,sqrt,2,10,25,1.0,0.36152172088623047,1
32,,sqrt,2,10,50,1.0,0.5593271255493164,1
33,,sqrt,2,10,100,1.0,1.3714318752288819,1
34,,sqrt,2,10,150,1.0,1.8756681442260743,1
35,,sqrt,2,10,200,1.0,3.490285539627075,1
36,,sqrt,4,2,10,1.0,0.12343220710754395,1
37,,sqrt,4,2,25,1.0,0.3404524326324463,1
38,,sqrt,4,2,50,1.0,0.6587860107421875,1
39,,sqrt,4,2,100,1.0,1.9012895584106446,1
40,,sqrt,4,2,150,1.0,2.0630155563354493,1
41,,sqrt,4,2,200,1.0,2.8694573879241942,1
42,,sqrt,4,5,10,0.9998461538461537,0.22194437980651854,450
43,,sqrt,4,5,25,0.9996923076923077,0.3237962245941162,460
44,,sqrt,4,5,50,1.0,0.6579886913299561,1
45,,sqrt,4,5,100,1.0,2.2244646549224854,1
46,,sqrt,4,5,150,1.0,2.243976020812988,1
47,,sqrt,4,5,200,1.0,2.784546422958374,1
48,,sqrt,4,10,10,0.9993846153846153,0.15289907455444335,480
49,,sqrt,4,10,25,1.0,0.43329453468322754,1
50,,sqrt,4,10,50,1.0,0.8830080986022949,1
