,param_C,param_degree,param_gamma,param_kernel,mean_test_score,mean_fit_time,rank_test_score
0,0.1,2,scale,linear,0.9438362053650738,3.8810199737548827,48
1,0.1,2,scale,rbf,0.9495311186119502,3.1511613368988036,45
2,0.1,2,scale,poly,0.9359911174276071,1.6674252986907958,54
3,0.1,2,scale,sigmoid,0.5090036122461064,9.621903896331787,61
4,0.1,2,auto,linear,0.9438362053650738,3.656140851974487,48
5,0.1,2,auto,rbf,0.9912300586249779,1.4878079414367675,29
6,0.1,2,auto,poly,0.997691952389412,0.5420746326446533,24
7,0.1,2,auto,sigmoid,0.5177720139752472,7.320132827758789,55
8,0.1,3,scale,linear,0.9438362053650738,1.8345445156097413,48
9,0.1,3,scale,rbf,0.9495311186119502,2.5951951503753663,45
10,0.1,3,scale,poly,0.9833829573044353,1.8528308391571044,32
11,0.1,3,scale,sigmoid,0.5090036122461064,12.287443780899048,61
12,0.1,3,auto,linear,0.9438362053650738,3.8835402011871336,48
13,0.1,3,auto,rbf,0.9912300586249779,2.920535945892334,29
14,0.1,3,auto,poly,1.0,0.9598493099212646,1
15,0.1,3,auto,sigmoid,0.5177720139752472,8.48112530708313,55
16,0.1,4,scale,linear,0.9438362053650738,2.5015513420104982,48
17,0.1,4,scale,rbf,0.9495311186119502,1.7800821781158447,45
18,0.1,4,scale,poly,0.9978459169775566,0.7217697620391845,23
19,0.1,4,scale,sigmoid,0.5090036122461064,9.037488222122192,61
20,0.1,4,auto,linear,0.9438362053650738,1.8764194965362548,48
21,0.1,4,auto,rbf,0.9912300586249779,2.7367443561553957,29
22,0.1,4,auto,poly,1.0,0.5487404823303222,1
23,0.1,4,auto,sigmoid,0.5177720139752472,8.31765022277832,55
24,1.0,2,scale,linear,0.9626083969917689,6.801564788818359,39
25,1.0,2,scale,rbf,0.9959998815657014,0.8035022735595703,25
26,1.0,2,scale,poly,0.9932298217563809,0.8559726238250732,28
27,1.0,2,scale,sigmoid,0.46545816308402915,7.494128274917602,64
28,1.0,2,auto,linear,0.9626083969917689,7.459917736053467,39
29,1.0,2,auto,rbf,1.0,1.6890621185302734,1
30,1.0,2,auto,poly,1.0,0.8810554504394531,1
31,1.0,2,auto,sigmoid,0.5177720139752472,8.645606517791748,55
32,1.0,3,scale,linear,0.9626083969917689,7.562717390060425,39
33,1.0,3,scale,rbf,0.9959998815657014,0.9926393032073975,25
34,1.0,3,scale,poly,0.998153609285249,0.6126027584075928,22
35,1.0,3,scale,sigmoid,0.46545816308402915,8.186520385742188,64
36,1.0,3,auto,linear,0.9626083969917689,6.357669019699097,39
37,1.0,3,auto,rbf,1.0,0.9967029571533204,1
38,1.0,3,auto,poly,1.0,0.6629597663879394,1
39,1.0,3,auto,sigmoid,0.5177720139752472,7.549490833282471,55
40,1.0,4,scale,linear,0.9626083969917689,5.657650089263916,39
41,1.0,4,scale,rbf,0.9959998815657014,0.9066113948822021,25
42,1.0,4,scale,poly,1.0,0.4707504749298096,1
43,1.0,4,scale,sigmoid,0.46545816308402915,7.417861223220825,64
44,1.0,4,auto,linear,0.9626083969917689,5.349346685409546,39
45,1.0,4,auto,rbf,1.0,1.1223881721496582,1
46,1.0,4,auto,poly,1.0,0.5762032985687255,1
47,1.0,4,auto,sigmoid,0.5177720139752472,8.761593580245972,55
48,10.0,2,scale,linear,0.9663007046840765,34.96650772094726,33
49,10.0,2,scale,rbf,1.0,0.5952265739440918,1
50,10.0,2,scale,poly,0.9986152661810861,0.8098213195800781,21
51,10.0,2,scale,sigmoid,0.4616114170663824,6.973028516769409,67
52,10.0,2,auto,linear,0.9663007046840765,43.04026689529419,33
53,10.0,2,auto,rbf,1.0,1.5212206840515137,1
54,10.0,2,auto,poly,1.0,0.8533784866333007,1
55,10.0,2,auto,sigmoid,0.30512394149345645,11.108918476104737,70
56,10.0,3,scale,linear,0.9663007046840765,47.78734230995178,33
57,10.0,3,scale,rbf,1.0,0.4520765781402588,1
58,10.0,3,scale,poly,1.0,0.811520004272461,1
59,10.0,3,scale,sigmoid,0.4616114170663824,10.99439001083374,67
60,10.0,3,auto,linear,0.9663007046840765,39.557859897613525,33
61,10.0,3,auto,rbf,1.0,1.3052232265472412,1
62,10.0,3,auto,poly,1.0,0.4401852607727051,1
63,10.0,3,auto,sigmoid,0.30512394149345645,7.906949806213379,70
64,10.0,4,scale,linear,0.9663007046840765,31.704115104675292,33
65,10.0,4,scale,rbf,1.0,0.44957914352416994,1
66,10.0,4,scale,poly,1.0,0.4421149730682373,1
67,10.0,4,scale,sigmoid,0.4616114170663824,6.3327079772949215,67
68,10.0,4,auto,linear,0.9663007046840765,26.01477427482605,33
69,10.0,4,auto,rbf,1.0,0.869966983795166,1
70,10.0,4,auto,poly,1.0,0.3956151485443115,1
71,10.0,4,auto,sigmoid,0.30512394149345645,5.622601747512817,70
