,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,mean_test_score,mean_fit_time,rank_test_score
0,gini,,,1,2,1.0,0.023221588134765624,1
1,gini,,,1,5,1.0,0.017934465408325197,1
2,gini,,,1,10,0.9998461538461537,0.021720075607299806,76
3,gini,,,2,2,1.0,0.017038631439208984,1
4,gini,,,2,5,1.0,0.023370933532714844,1
5,gini,,,2,10,0.9995384615384616,0.02246232032775879,108
6,gini,,,5,2,0.9989230769230769,0.01736302375793457,143
7,gini,,,5,5,0.9989230769230769,0.017668676376342774,143
8,gini,,,5,10,0.9989230769230769,0.01678757667541504,143
9,gini,,sqrt,1,2,1.0,0.008500099182128906,1
10,gini,,sqrt,1,5,1.0,0.01405019760131836,1
11,gini,,sqrt,1,10,0.9998461538461537,0.009377861022949218,76
12,gini,,sqrt,2,2,0.9996923076923077,0.014652681350708009,102
13,gini,,sqrt,2,5,0.9998460354118552,0.008690834045410156,96
14,gini,,sqrt,2,10,0.9998461538461537,0.010224008560180664,76
15,gini,,sqrt,5,2,0.9984611831586427,0.014683866500854492,173
16,gini,,sqrt,5,5,0.9990769230769232,0.012945032119750977,125
17,gini,,sqrt,5,10,0.9989227216201811,0.00891256332397461,158
18,gini,,log2,1,2,1.0,0.04176969528198242,1
19,gini,,log2,1,5,0.9998461538461537,0.008267736434936524,76
20,gini,,log2,1,10,0.9995383431041629,0.009910154342651366,113
21,gini,,log2,2,2,1.0,0.009321928024291992,1
22,gini,,log2,2,5,1.0,0.013985300064086914,1
23,gini,,log2,2,10,0.9993844969503168,0.00911250114440918,119
24,gini,,log2,5,2,0.9984611831586427,0.01182699203491211,173
25,gini,,log2,5,5,0.9973836679102268,0.01031961441040039,194
26,gini,,log2,5,10,0.9986152661810861,0.01628403663635254,167
27,gini,5,,1,2,0.9806121868893232,0.01913027763366699,218
28,gini,5,,1,5,0.9806121868893232,0.02240147590637207,218
29,gini,5,,1,10,0.9806121868893232,0.035619592666625975,218
30,gini,5,,2,2,0.9806121868893232,0.028985309600830077,218
31,gini,5,,2,5,0.9806121868893232,0.03129310607910156,218
32,gini,5,,2,10,0.9806121868893232,0.042966699600219725,218
33,gini,5,,5,2,0.9806121868893232,0.01811528205871582,218
34,gini,5,,5,5,0.9806121868893232,0.021244239807128907,218
35,gini,5,,5,10,0.9806121868893232,0.016500043869018554,218
36,gini,5,sqrt,1,2,0.9696888730976492,0.008282232284545898,250
37,gini,5,sqrt,1,5,0.9598369159708652,0.01818051338195801,263
38,gini,5,sqrt,1,10,0.9743049683188252,0.019672107696533204,242
39,gini,5,sqrt,2,2,0.9613817729614496,0.013968324661254883,261
40,gini,5,sqrt,2,5,0.974914194350684,0.009273624420166016,240
41,gini,5,sqrt,2,10,0.9779971575768343,0.007950067520141602,238
42,gini,5,sqrt,5,2,0.9815363297210873,0.02096400260925293,217
43,gini,5,sqrt,5,5,0.9627637827914963,0.0077397823333740234,259
44,gini,5,sqrt,5,10,0.9664546692722211,0.010665416717529297,253
45,gini,5,log2,1,2,0.9635317107834428,0.010200262069702148,258
46,gini,5,log2,1,5,0.9744571563924913,0.019255685806274413,241
47,gini,5,log2,1,10,0.9792261502931249,0.014179420471191407,237
48,gini,5,log2,2,2,0.9792281636762006,0.012156009674072266,236
49,gini,5,log2,2,5,0.9638392846568367,0.007161283493041992,256
50,gini,5,log2,2,10,0.9593789305382838,0.01813373565673828,264
51,gini,5,log2,5,2,0.9741512405992776,0.017626142501831053,243
