,param_n_neighbors,param_p,param_weights,mean_test_score,mean_fit_time,rank_test_score
0,3,1,uniform,1.0,0.013348531723022462,1
1,3,1,distance,1.0,0.011958742141723632,1
2,3,2,uniform,0.9995384615384616,0.009096002578735352,37
3,3,2,distance,0.9995384615384616,0.012926054000854493,37
4,4,1,uniform,1.0,0.01382894515991211,1
5,4,1,distance,1.0,0.007558155059814453,1
6,4,2,uniform,0.9990769230769232,0.009038400650024415,41
7,4,2,distance,0.9995384615384616,0.016712474822998046,37
8,5,1,uniform,1.0,0.007539987564086914,1
9,5,1,distance,1.0,0.011169242858886718,1
10,5,2,uniform,0.9983073370047965,0.006363439559936524,48
11,5,2,distance,0.9992306507964706,0.008301448822021485,40
12,6,1,uniform,1.0,0.007358169555664063,1
13,6,1,distance,1.0,0.010349798202514648,1
14,6,2,uniform,0.998153609285249,0.011729812622070313,49
15,6,2,distance,0.9986151477467875,0.020488262176513672,43
16,7,1,uniform,1.0,0.007954120635986328,1
17,7,1,distance,1.0,0.006748723983764649,1
18,7,2,uniform,0.9975381062355659,0.007336235046386719,55
19,7,2,distance,0.9984613015929413,0.009415864944458008,44
20,8,1,uniform,1.0,0.014400863647460937,1
21,8,1,distance,1.0,0.008396244049072266,1
22,8,2,uniform,0.9969226031858825,0.008108568191528321,58
23,8,2,distance,0.998153609285249,0.011078834533691406,49
24,9,1,uniform,1.0,0.012369537353515625,1
25,9,1,distance,1.0,0.00820460319519043,1
26,9,2,uniform,0.9975379878012672,0.008587884902954101,57
27,9,2,distance,0.9983073370047967,0.013474273681640624,47
28,10,1,uniform,1.0,0.009213972091674804,1
29,10,1,distance,1.0,0.013316488265991211,1
30,10,2,uniform,0.9966147924438917,0.009190034866333009,60
31,10,2,distance,0.9983074554390952,0.01080307960510254,46
32,11,1,uniform,1.0,0.00980238914489746,1
33,11,1,distance,1.0,0.009038543701171875,1
34,11,2,uniform,0.9967686385977379,0.008252906799316406,59
35,11,2,distance,0.9984613015929413,0.01067209243774414,44
36,12,1,uniform,1.0,0.012082290649414063,1
37,12,1,distance,1.0,0.012486839294433593,1
38,12,2,uniform,0.9955377509326702,0.012052774429321289,64
39,12,2,distance,0.9986152661810861,0.009290838241577148,42
40,13,1,uniform,1.0,0.022820138931274415,1
41,13,1,distance,1.0,0.01989612579345703,1
42,13,2,uniform,0.9958454432403625,0.010134458541870117,61
43,13,2,distance,0.998153609285249,0.00877084732055664,49
44,14,1,uniform,0.9998461538461537,0.00997319221496582,30
45,14,1,distance,1.0,0.013879871368408203,1
46,14,2,uniform,0.9949220110143898,0.017439508438110353,66
47,14,2,distance,0.9979996446971043,0.012044286727905274,52
48,15,1,uniform,0.9998461538461537,0.013592338562011719,30
49,15,1,distance,1.0,0.006435775756835937,1
50,15,2,uniform,0.9949220110143898,0.02358384132385254,66
51,15,2,distance,0.9976918339551135,0.02093844413757324,54
52,16,1,uniform,0.9998461538461537,0.009210634231567382,30
53,16,1,distance,1.0,0.014911890029907227,1
54,16,2,uniform,0.9924604725528514,0.009362220764160156,69
55,16,2,distance,0.997691952389412,0.013241958618164063,53
56,17,1,uniform,0.9998461538461537,0.006456613540649414,30
57,17,1,distance,1.0,0.008586549758911132,1
58,17,2,uniform,0.9930758571682361,0.018100976943969727,68
59,17,2,distance,0.9975381062355659,0.009695148468017578,55
60,18,1,uniform,0.9998461538461537,0.007216930389404297,30
61,18,1,distance,1.0,0.0065877437591552734,1
62,18,2,uniform,0.9907680464262452,0.007890844345092773,70
63,18,2,distance,0.9958452063717653,0.00985407829284668,63
64,19,1,uniform,0.9998461538461537,0.008304405212402343,30
65,19,1,distance,1.0,0.008167219161987305,1
66,19,2,uniform,0.9907679279919464,0.022290658950805665,71
67,19,2,distance,0.9958453248060639,0.0273712158203125,62
68,20,1,uniform,0.9998461538461537,0.016106271743774415,30
69,20,1,distance,1.0,0.010115432739257812,1
70,20,2,uniform,0.9895372771954758,0.011344099044799804,72
71,20,2,distance,0.9955376324983716,0.01015176773071289,65
