,param_C,param_max_iter,param_penalty,param_solver,mean_test_score,mean_fit_time,rank_test_score
0,0.01,100,l1,liblinear,0.908138686563629,0.2995444297790527,201
1,0.01,100,l1,saga,0.9173714691774737,1.6356366634368897,196
2,0.01,100,l1,lbfgs,,0.019442129135131835,226
3,0.01,100,l1,newton-cg,,0.008635425567626953,226
4,0.01,100,l2,liblinear,0.905216675549239,0.15661211013793946,206
5,0.01,100,l2,saga,0.9038318232960265,1.2004794597625732,215
6,0.01,100,l2,lbfgs,0.9038314679931307,0.2537336826324463,216
7,0.01,100,l2,newton-cg,0.9038314679931307,0.17915983200073243,216
8,0.01,100,elasticnet,liblinear,,0.005341053009033203,226
9,0.01,100,elasticnet,saga,,0.003976106643676758,226
10,0.01,100,elasticnet,lbfgs,,0.007891511917114258,226
11,0.01,100,elasticnet,newton-cg,,0.004479742050170899,226
12,0.01,100,,liblinear,,0.005693817138671875,226
13,0.01,100,,saga,0.9541450820157518,0.8858674526214599,146
14,0.01,100,,lbfgs,0.9616857938058863,0.19508056640625,1
15,0.01,100,,newton-cg,0.9606091075975602,0.26567463874816893,38
16,0.01,200,l1,liblinear,0.908138686563629,0.14476394653320312,201
17,0.01,200,l1,saga,0.9173714691774737,1.1582054138183593,196
18,0.01,200,l1,lbfgs,,0.005403661727905273,226
19,0.01,200,l1,newton-cg,,0.0038709640502929688,226
20,0.01,200,l2,liblinear,0.905216675549239,0.09102497100830079,206
21,0.01,200,l2,saga,0.9039853141469768,1.7785253047943115,211
22,0.01,200,l2,lbfgs,0.9038314679931307,0.13136377334594726,216
23,0.01,200,l2,newton-cg,0.9038314679931307,0.09514894485473632,216
24,0.01,200,elasticnet,liblinear,,0.011264371871948241,226
25,0.01,200,elasticnet,saga,,0.012292623519897461,226
26,0.01,200,elasticnet,lbfgs,,0.008434200286865234,226
27,0.01,200,elasticnet,newton-cg,,0.008028221130371094,226
28,0.01,200,,liblinear,,0.005274724960327148,226
29,0.01,200,,saga,0.9573769171552081,2.4107620239257814,126
30,0.01,200,,lbfgs,0.9615321845206373,0.42571349143981935,6
31,0.01,200,,newton-cg,0.9606091075975602,0.2694718360900879,38
32,0.01,300,l1,liblinear,0.908138686563629,0.15673232078552246,201
33,0.01,300,l1,saga,0.9173714691774737,1.4028703212738036,196
34,0.01,300,l1,lbfgs,,0.006637191772460938,226
35,0.01,300,l1,newton-cg,,0.00981283187866211,226
36,0.01,300,l2,liblinear,0.905216675549239,0.1861189842224121,206
37,0.01,300,l2,saga,0.9039853141469768,2.725026082992554,211
38,0.01,300,l2,lbfgs,0.9038314679931307,0.2747828006744385,216
39,0.01,300,l2,newton-cg,0.9038314679931307,0.24619030952453613,216
40,0.01,300,elasticnet,liblinear,,0.007537078857421875,226
41,0.01,300,elasticnet,saga,,0.006285667419433594,226
42,0.01,300,elasticnet,lbfgs,,0.014757061004638672,226
43,0.01,300,elasticnet,newton-cg,,0.013944625854492188,226
44,0.01,300,,liblinear,,0.015578079223632812,226
45,0.01,300,,saga,0.9576849647657962,2.6696985721588136,116
46,0.01,300,,lbfgs,0.9610706460590988,0.5057291984558105,11
47,0.01,300,,newton-cg,0.9606091075975602,0.2627441883087158,38
