,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,mean_test_score,mean_fit_time,rank_test_score
0,,sqrt,1,2,10,1.0,0.09927048683166503,1
1,,sqrt,1,2,25,1.0,0.21603288650512695,1
2,,sqrt,1,2,50,1.0,0.4280214309692383,1
3,,sqrt,1,2,100,1.0,0.9204204082489014,1
4,,sqrt,1,2,150,1.0,1.5201805591583253,1
5,,sqrt,1,2,200,1.0,1.9617092609405518,1
6,,sqrt,1,5,10,1.0,0.11550779342651367,1
7,,sqrt,1,5,25,1.0,0.21302266120910646,1
8,,sqrt,1,5,50,1.0,0.4172381401062012,1
9,,sqrt,1,5,100,1.0,0.8481784343719483,1
10,,sqrt,1,5,150,1.0,1.0907573223114013,1
11,,sqrt,1,5,200,1.0,1.4437054634094237,1
12,,sqrt,1,10,10,1.0,0.072792387008667,1
13,,sqrt,1,10,25,1.0,0.18206391334533692,1
14,,sqrt,1,10,50,1.0,0.4679880142211914,1
15,,sqrt,1,10,100,1.0,0.9076278209686279,1
16,,sqrt,1,10,150,1.0,1.1304552555084229,1
17,,sqrt,1,10,200,1.0,1.6584728240966797,1
18,,sqrt,2,2,10,1.0,0.09998822212219238,1
19,,sqrt,2,2,25,1.0,0.1700533390045166,1
20,,sqrt,2,2,50,1.0,0.3973942756652832,1
21,,sqrt,2,2,100,1.0,0.7611003398895264,1
22,,sqrt,2,2,150,1.0,1.1353044509887695,1
23,,sqrt,2,2,200,1.0,1.7734222888946534,1
24,,sqrt,2,5,10,1.0,0.1362614154815674,1
25,,sqrt,2,5,25,1.0,0.3180117607116699,1
26,,sqrt,2,5,50,1.0,0.4086312294006348,1
27,,sqrt,2,5,100,1.0,0.7268452644348145,1
28,,sqrt,2,5,150,1.0,1.0927449703216552,1
29,,sqrt,2,5,200,1.0,1.44863920211792,1
30,,sqrt,2,10,10,0.9998461538461537,0.08294658660888672,456
31,,sqrt,2,10,25,1.0,0.19776492118835448,1
32,,sqrt,2,10,50,1.0,0.38059372901916505,1
33,,sqrt,2,10,100,1.0,0.7897084712982178,1
34,,sqrt,2,10,150,1.0,1.2425408840179444,1
35,,sqrt,2,10,200,1.0,1.6208885669708253,1
36,,sqrt,4,2,10,1.0,0.09484720230102539,1
37,,sqrt,4,2,25,0.9996923076923077,0.18245172500610352,460
38,,sqrt,4,2,50,1.0,0.37598309516906736,1
39,,sqrt,4,2,100,1.0,0.6695106506347657,1
